appearances,title
14,Home
13,Dungeons of Dredmor
12,DarkMaus
12,CASE: Animatronics
10,R.A.W. Realms of Ancient War
10,Streets of Rogue
10,Crime Cities
10,I hate this game
9,Marauder (2009)
9,Slain: Back from Hell
8,Kyn
8,The Deadly Tower of Monsters
8,Lamplight City
8,Soldiers: Heroes of World War II
7,Curse of the Dead Gods
7,City of Brass
7,Noir Chronicles: City of Crime
7,Sin City
7,Gangsters: Organized Crime
7,War Mongrels
6,Loki
6,Battle Mages
6,Epic Clicker Journey
6,Darkest Dungeon II
6,DUSK
6,The Forgotten City
6,Mirror's Edge
6,Despot's Game: Dystopian Battle Simulator
6,LA Cops
6,World War 3
6,Red Orchestra: Ostfront 41-45
6,Theatre of War 2: Kursk 1943
6,Below
6,Ancient Planet
5,Deep Dungeons of Doom
5,Fighting Fantasy Classics
5,Medieval: Total War - Collection
5,Trials of Fire
5,BROKE PROTOCOL: Online City RPG
5,Distrust
5,Dark City
5,Crashlands
5,Necropolis
5,Order of Battle: World War II
5,Warside
5,Commandos 2: Men of Courage
5,Panzer Corps
5,Commandos: Behind Enemy Lines
5,Visage
5,Uncanny Valley
5,Last Year
5,Hidden Deep
5,Insanely Twisted Shadow Planet
5,Hacker Evolution: Untold
4,Tallowmere
4,Shadow Warrior (2013)
4,Darkest Hunters
4,Knights and Merchants
4,Knights and Merchants: The Peasants Rebellion
4,Rise of Kingdoms
4,VHS
4,Dread X Collection 2
4,The Old City: Leviathan
4,Dream
4,Collapse
4,Jar City
4,Natural City
4,White Night (2017)
4,The Long Journey Home
4,INSOMNIA: The Ark
4,Darkstar One
4,Crime Boss: Rockay City
4,DC Universe Online
4,LEGO Batman
4,Gotham City Impostors
4,LEGO DC Super-Villains
4,LEGO Batman 2 DC Super Heroes
4,LEGO DC Comics Super Heroes: Justice League - Gotham City Breakout
4,Memoir '44 Online
4,Sniper Elite: Nazi Zombie Army
4,Steel Division 2
4,Partisans 1941
4,WARSAW
4,Dunkirk
4,Stalingrad
4,Limbo
4,Homesick
4,ABZU
4,Abyss: The Wraiths of Eden
4,Island of Terror
4,Legend of Dungeon
4,Orion Sandbox Enhanced
4,Trine Enchanted Edition
4,MyWorld - Action RPG Maker
4,DRAGON: A Game About a Dragon
4,Call of Duty: World at War - Final Fronts
4,Insomnia
3,Wolcen: Lords of Mayhem
3,Crowntakers
3,Medieval Dynasty
3,Medieval: Total War
3,Reign: Conflict of Nations
3,Tormentum - Dark Sorrow
3,Halls Of Torment
3,Fear & Hunger 2: Termina
3,Gloomwood
3,Apocalipsis: The Tree of the Knowledge of Good and Evil
3,Valdis Story: Abyssal City
3,Neverwinter
3,Pillars of Eternity
3,PRICE
3,Stone Story RPG
3,Liberated
3,Superliminal
3,Chaos;Head
3,Fear City
3,While the City Sleeps
3,Rain World
3,Kathy Rain
3,Rainswept
3,Against the Storm
3,Lost Horizon
3,Star Conflict
3,Crime Scene Cleaner
3,BOMJMAN
3,Police Stories: The Academy
3,Badass Hero
3,Top Gun (1987)
3,Freaky Awesome
3,Technobabylon
3,Battle Group 2
3,Sniper Elite
3,Company of Heroes
3,The Squad
3,Men of War: Assault Squad 2
3,Total Tank Simulator
3,Silent Storm Gold Edition
3,Hearts of Iron III
3,War
3,The Trench
3,Ballad of a Soldier
3,The Eastern Front
3,Sigma Theory: Global Cold War
3,Wargame: European Escalation
3,Cry of Fear
3,UNLOVED
3,Oxenfree
3,Knock-Knock
3,Underwater
3,Stranded Sails - Explorers of the Cursed Islands
3,DESOLATE
3,Anthropophagous
3,Never Again
3,Dark Fall: The Journal
3,Eternium
3,Caveblazers
3,Yelaxot
3,Clash: Artifacts of Chaos
3,Egypt Old Kingdom
3,Grimind
3,LUNA The Shadow Dust
3,Oozi: Earth Adventure
3,AaAaAA!!! - A Reckless Disregard for Gravity
3,Diehard Dungeon
3,A.I.M.: Artificial Intelligence Machine
3,Zombie Night Terror
3,Evil Genius 2 World Domination
3,Men of War: Condemned Heroes
3,Enemy Front
3,Vladik Brutal
3,Grim Legends 3: The Dark City
3,Ragnarok Odyssey
3,Total War Saga: Thrones of Britannia
3,Cyber Manhunt
3,Retribution
3,Ascension to the Throne
3,Reign Of Kings
3,BloodNet
3,.hack//Infection Part 1
3,Pixel Heroes: Byte & Magic
3,Path of Exile
3,Despot's Game
3,Gamedec
3,Dungeon Hearts
3,Exiled Kingdoms
3,Castle In The Darkness
3,Shadowrun: Hong Kong - Extended Edition
3,Company of Heroes: Opposing Fronts
3,King Arthur: Knight's Tale
3,King Arthur: Fallen Champions
3,King Arthur - The Role-playing Wargame
3,Wildfire
3,Reaper - Tale of a Pale Swordsman
3,Auto Chess
3,1
